中国封建社会政治的基本特征是高度中央集权的（   ）。易,封建君主专制制度,君主立宪制,封建宗法等级制度,宗族家长制,A
中国封建社会宗法等级制度的核心是（   ）。难,夫权,父权,宗族家长制,君权,C
中国封建社会的文化思想体系的核心是（   ）。易,法家思想,道家思想,墨家思想,儒家思想,D
世界历史开始进入资本主义时代的标志性事件是（   ）。易,1640年英国资产阶级革命,1680年俄国彼得一世改革,1789年法国大革命,1868年日本明治维新,A
中国近代史的起点是（   ）。易,第一次鸦片战争,第二次鸦片战争,甲午战争,八国联军侵华战争,A
有人说，英国是用三样武器打开中国大门的，其使用的先后顺序是（   ）。中,商品→鸦片→炮舰,商品→炮舰→鸦片,鸦片→商品→炮舰,炮舰→鸦片→商品,A
鸦片战争爆发前，一位英国殖民者说：“这是把我们将来和这个帝国的商务，安放在稳固而广阔的基础之上的最有希望的机会。”这反映出英国发动鸦片战争的主要目的是（   ）。中,打开中国商品市场,保护鸦片贸易,割占中国领土,争取外交礼仪平等,A
鸦片战争发生的根本原因是（   ）。易,清政府实行闭关政策,禁烟运动打击了英国商人,中国处于封建落后状态,英国要打开中国市场,D
有的西方学者说鸦片战争是“维护商业”的战争，对这种观点评述正确的是（   ）。中①是对战争原因深层次的思考②混淆了现象和本质的关系③为侵略战争辩护④反映了东西方思维方式的不同。,①③,②④,②③,①③④,C
中国近代史以鸦片战争为开端，主要是因为（   ）。难,社会性质开始发生根本变化,长期闭关锁国的局面被打破,中国与西方列强的第一场战争,民族矛盾取代了阶级矛盾,A
近代中国社会的性质是（   ）。易,封建社会,半殖民地半封建社会,半资本主义社会,资本主义社会,B
对近代中国“半殖民地半封建”社会性质的正确理解是（   ）。中,政治上是殖民地，经济上是封建的,既是殖民地又处于封建社会,一半是殖民地，一半是封建社会,有主权但不完整，有封建经济也有资本主义经济,D
近代中国人数最多的被剥削阶级是（   ）。易,农民阶级,工人阶级,小资产阶级,无产阶级,A
资本—帝国主义列强对中国的侵略，首先和主要的是进行（   ）。中,政治控制,经济掠夺,文化渗透,军事侵略,D
我国与列强签订的第一个不平等条约是（   ）。易,《北京条约》,《马关条约》,《南京条约》,《天津条约》,C
1894年11月，（   ）攻陷旅顺后，制造了旅顺大屠杀惨案。中,英军,俄军,日军,美军,C
近代入侵东北并制造了江东六十四屯惨案的国家是（   ）。中,日本,俄国,苏联,美国,B
规定割让香港岛的不平等条约是（   ）。易,《南京条约》,《虎门条约》,《天津条约》,《北京条约》,A
19世纪末20世纪初，帝国主义在中国掀起瓜分中国的狂潮，其中广西成了（   ）的势力范围。难,英国,俄国,法国,德国,C
19世纪末20世纪初，帝国主义在中国掀起瓜分中国的狂潮，其中山东成了（   ）的势力范围。中,英国,日本,法国,德国,D
第一个在中国设立租界的国家是（   ）。中,英国,法国,美国,日本,A
1842年，中英《南京条约》中规定开放的通商口岸是（   ）。中,广州、厦门、福州、南京、上海,广州、汉口、福州、南京、上海,广州、厦门、福州、宁波、上海,广州、汉口、福州、宁波、上海,C
首先规定外国人享有“领事裁判权”的条约是（   ）。中,《五口通商章程》,《天津条约》,《北京条约》,《辛丑条约》,A
